Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
113,Dillon Brooks,29,HOU,SF,42,42,32.2,4.9,11.6,.417,2.3,6.1,.384,2.5,5.6,.453,.517,1.3,1.5,.846,1.2,2.5,3.8,1.5,0.9,0.2,1.0,3.4,13.4,,brookdi01
114,Bobby Portis,29,MIL,PF,41,5,24.7,5.5,11.7,.466,1.3,3.5,.364,4.2,8.2,.509,.520,1.2,1.5,.817,1.7,6.2,7.9,2.0,0.7,0.5,1.2,1.8,13.4,,portibo01
115,D'Angelo Russell,28,2TM,PG,38,16,26.0,4.5,10.8,.413,2.0,5.8,.347,2.4,5.0,.489,.506,2.2,2.5,.895,0.3,2.5,2.8,5.3,0.9,0.3,1.8,1.9,13.2,,russeda01
115,D'Angelo Russell,28,LAL,PG,29,10,26.3,4.4,10.7,.415,1.9,5.8,.333,2.5,4.9,.510,.505,1.6,1.8,.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,,russeda01
115,D'Angelo Russell,28,BRK,PG,9,6,25.1,4.6,11.2,.406,2.3,6.0,.389,2.2,5.2,.426,.510,4.4,4.7,.952,0.2,2.7,2.9,7.4,1.4,0.9,2.2,2.3,15.9,,russeda01
116,Russell Westbrook,36,DEN,PG,46,25,27.5,5.0,10.4,.476,1.2,3.5,.337,3.8,6.9,.547,.533,2.0,3.2,.639,1.3,3.7,5.0,6.4,1.5,0.5,3.0,2.5,13.2,,westbru01
117,Jeremy Sochan,21,SAS,PF,24,19,27.9,5.1,9.7,.528,0.5,1.7,.300,4.6,8.0,.575,.554,2.1,2.9,.729,2.7,5.3,7.9,2.5,0.9,0.6,1.9,2.3,12.9,,sochaje01
118,Moritz Wagner,27,ORL,C,30,1,18.8,4.7,8.3,.562,0.9,2.5,.360,3.8,5.8,.649,.616,2.6,3.7,.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,,wagnemo01
119,Aaron Gordon,29,DEN,PF,25,16,26.2,4.5,8.7,.516,1.2,2.9,.417,3.3,5.8,.566,.585,2.6,3.4,.786,1.6,3.4,4.9,2.7,0.5,0.2,1.4,1.5,12.8,,gordoaa01
120,Santi Aldama,24,MEM,PF,39,11,24.8,5.0,10.1,.494,1.7,4.5,.367,3.3,5.5,.597,.576,1.1,1.5,.707,1.6,5.3,6.8,2.6,0.8,0.5,1.2,0.9,12.7,,aldamsa01
121,Tobias Harris,32,DET,PF,44,44,31.9,4.8,10.8,.441,1.3,3.9,.345,3.4,6.9,.495,.503,1.8,2.0,.865,1.0,5.2,6.1,2.4,0.8,0.8,1.2,2.0,12.6,,harrito02
122,Khris Middleton,33,MIL,SF,20,7,23.5,4.7,9.5,.489,1.4,3.8,.368,3.3,5.7,.570,.563,1.8,2.1,.833,0.3,3.7,3.9,4.8,0.8,0.2,1.6,2.3,12.5,,middlkh01
123,Bilal Coulibaly,20,WAS,SF,41,41,33.3,4.5,10.7,.420,1.0,3.9,.266,3.5,6.8,.507,.468,2.4,3.2,.762,1.4,3.6,5.1,3.4,1.3,0.8,2.0,2.5,12.4,,coulibi01
124,Ayo Dosunmu,25,CHI,SG,36,18,30.4,4.8,9.8,.489,1.4,4.1,.338,3.4,5.7,.598,.560,1.4,1.8,.785,0.6,3.1,3.7,4.5,0.8,0.4,1.3,2.3,12.4,,dosunay01
125,Daniel Gafford,26,DAL,C,45,22,21.0,5.0,7.2,.695,0.0,0.0,,5.0,7.2,.695,.695,2.4,3.4,.701,2.6,3.9,6.6,1.3,0.4,1.7,1.2,2.6,12.4,,gaffoda01
126,Scoot Henderson,20,POR,PG,39,7,26.6,4.2,9.8,.428,1.4,4.0,.355,2.8,5.8,.478,.500,2.5,3.3,.767,0.7,2.3,2.9,5.1,1.1,0.3,2.8,2.7,12.4,,hendesc01
127,Rui Hachimura,26,LAL,PF,37,37,32.0,4.6,9.4,.487,1.5,3.6,.410,3.1,5.8,.535,.566,1.5,1.9,.775,1.6,3.6,5.3,1.5,0.9,0.5,0.9,1.8,12.2,,hachiru01
128,Brook Lopez,36,MIL,C,44,44,32.3,4.6,9.5,.483,1.9,5.0,.369,2.7,4.5,.612,.581,1.1,1.4,.794,1.1,3.7,4.8,1.7,0.8,2.0,1.0,2.1,12.2,,lopezbr01
129,Buddy Hield,32,GSW,SG,45,13,23.4,4.3,10.4,.413,2.7,7.2,.370,1.6,3.2,.510,.542,0.8,0.9,.833,0.6,2.7,3.3,1.5,0.9,0.3,1.2,1.8,12.0,,hieldbu01
130,Keldon Johnson,25,SAS,SF,40,0,23.9,4.5,9.8,.461,1.1,3.7,.288,3.5,6.2,.563,.514,1.9,2.5,.770,1.3,3.6,4.9,1.4,0.6,0.3,0.9,1.4,12.0,,johnske04
131,Daeqwon Plowden,26,ATL,SG,2,0,16.5,4.0,5.0,.800,3.0,4.0,.750,1.0,1.0,1.000,1.100,1.0,1.0,1.000,1.5,1.0,2.5,0.0,0.0,0.0,0.5,2.5,12.0,,plowdda01
132,Terry Rozier,30,MIA,PG,41,21,28.3,4.4,10.8,.404,1.5,5.1,.288,2.9,5.7,.506,.472,1.7,1.9,.883,0.8,3.3,4.1,2.9,0.6,0.3,1.5,1.4,11.9,,roziete01
133,Jabari Smith Jr.,21,HOU,PF,33,33,30.9,4.1,9.5,.435,1.7,4.8,.354,2.4,4.7,.516,.524,2.0,2.3,.867,1.8,4.7,6.5,1.0,0.4,1.0,0.9,2.3,11.9,,smithja05
134,Isaiah Hartenstein,26,OKC,C,25,24,29.9,5.0,8.8,.568,0.0,0.4,.000,5.0,8.4,.598,.568,1.8,2.8,.648,2.9,9.2,12.2,4.2,0.8,1.2,2.0,2.9,11.8,,harteis01
135,Keegan Murray,24,SAC,PF,43,43,35.2,4.6,10.7,.426,1.8,5.7,.320,2.8,5.1,.546,.511,0.8,1.0,.837,2.1,5.0,7.1,1.4,0.8,0.9,0.9,2.7,11.8,,murrake02
136,Harrison Barnes,32,SAS,PF,43,43,28.1,4.0,7.9,.500,1.5,3.7,.414,2.4,4.3,.574,.596,2.3,2.8,.795,1.5,2.5,4.0,1.7,0.3,0.2,0.6,0.9,11.7,,barneha02
137,Stephon Castle,20,SAS,PG,42,25,25.3,4.2,10.5,.400,1.0,3.8,.259,3.2,6.8,.477,.446,2.3,3.2,.716,0.8,1.7,2.5,3.6,0.8,0.3,1.9,1.7,11.7,,castlst01
138,Onyeka Okongwu,24,ATL,C,39,5,24.5,4.6,8.3,.551,0.4,1.6,.258,4.2,6.7,.620,.575,2.2,2.8,.757,2.9,4.9,7.8,1.9,0.8,0.9,1.0,2.3,11.7,,okongon01
139,Jonas Valančiūnas,32,WAS,C,45,8,19.6,4.8,8.6,.564,0.2,0.6,.280,4.7,8.0,.583,.573,1.9,2.1,.895,2.4,5.7,8.1,2.2,0.5,0.6,1.8,1.9,11.7,,valanjo01
140,Jaylen Wells,21,MEM,SG,47,42,26.1,4.1,9.3,.439,2.0,5.1,.388,2.1,4.2,.503,.546,1.6,1.9,.841,1.1,2.1,3.2,1.7,0.6,0.1,1.0,1.9,11.7,,wellsja01
141,Josh Giddey,22,CHI,PG,43,43,28.6,4.4,10.0,.441,1.2,3.7,.331,3.2,6.3,.504,.501,1.5,2.0,.750,1.7,5.7,7.4,6.7,1.1,0.5,2.8,1.6,11.5,,giddejo01
142,Jrue Holiday,34,BOS,PG,40,40,30.5,4.2,9.4,.447,1.9,5.3,.355,2.3,4.1,.564,.547,1.2,1.4,.891,1.1,3.2,4.3,3.7,1.0,0.5,1.4,1.5,11.5,,holidjr01
143,Tyus Jones,28,PHO,PG,44,44,29.9,4.3,9.0,.479,2.1,5.0,.420,2.2,4.0,.551,.594,0.8,0.9,.872,0.6,2.0,2.5,6.1,0.9,0.1,1.3,1.1,11.5,,jonesty01
144,Alex Sarr,19,WAS,C,41,41,26.8,4.3,10.9,.397,1.4,4.6,.307,2.9,6.3,.463,.462,1.4,2.1,.644,1.8,4.8,6.6,2.2,0.7,1.6,1.4,2.4,11.5,,sarral01
145,Walker Kessler,23,UTA,C,35,35,29.7,4.9,6.6,.733,0.1,0.1,.500,4.8,6.5,.737,.737,1.5,2.7,.547,4.5,6.9,11.4,1.5,0.5,2.4,1.4,2.1,11.3,,kesslwa01
146,Corey Kispert,25,WAS,SF,40,0,26.8,4.1,9.2,.440,1.9,5.4,.355,2.2,3.9,.558,.543,1.2,1.4,.860,0.6,2.4,3.0,1.6,0.6,0.2,1.0,1.5,11.2,,kispeco01
147,Duncan Robinson,30,MIA,SF,43,25,24.3,4.0,9.4,.425,2.6,6.8,.378,1.4,2.7,.544,.560,0.7,0.7,.875,0.3,2.2,2.5,2.7,0.6,0.1,1.0,2.1,11.2,,robindu01
148,Grayson Allen,29,PHO,SG,36,1,24.4,3.5,7.8,.452,2.4,5.7,.429,1.1,2.1,.514,.609,1.6,2.0,.831,0.6,2.6,3.2,1.8,0.9,0.3,1.0,1.3,11.1,,allengr01
149,Tari Eason,23,HOU,PF,30,0,22.9,4.2,9.0,.469,1.0,3.1,.326,3.2,6.0,.542,.524,1.7,2.2,.746,2.0,4.0,6.1,1.1,2.0,0.8,0.8,2.5,11.1,,easonta01
150,Jordan Hawkins,22,NOP,SG,31,5,23.5,3.8,10.2,.369,2.0,6.0,.335,1.8,4.3,.417,.467,1.6,1.9,.831,0.4,2.1,2.5,0.9,0.7,0.4,0.9,0.8,11.1,,hawkijo01
151,Julian Champagnie,23,SAS,SF,43,26,26.1,3.8,9.0,.420,2.4,6.6,.367,1.3,2.4,.563,.554,1.1,1.2,.902,0.8,3.5,4.3,1.2,0.7,0.5,1.0,1.5,11.0,,champju02
152,Donte DiVincenzo,28,MIN,SG,40,8,26.4,3.7,9.3,.397,2.6,7.0,.369,1.1,2.4,.479,.535,1.0,1.3,.820,0.6,3.1,3.7,3.6,1.2,0.2,1.8,1.6,11.0,,divindo01
153,Tim Hardaway Jr.,32,DET,SG,42,42,28.5,3.6,8.5,.419,2.1,5.7,.377,1.4,2.8,.504,.545,1.8,2.1,.831,0.2,2.0,2.2,1.5,0.5,0.0,0.7,1.3,11.0,,hardati02
154,Naji Marshall,27,DAL,SF,34,14,24.7,4.4,8.6,.503,0.9,2.8,.313,3.5,5.8,.596,.554,1.4,1.6,.870,0.9,2.7,3.6,2.6,1.0,0.1,1.5,1.5,11.0,,marshna01
155,Ty Jerome,27,CLE,SG,43,2,18.4,3.9,7.7,.511,1.5,3.4,.438,2.4,4.3,.568,.607,1.6,1.8,.883,0.7,1.6,2.3,3.3,1.2,0.0,1.2,1.4,10.9,,jeromty01
156,Caris LeVert,30,CLE,SF,35,2,24.1,3.7,7.9,.473,1.7,3.9,.420,2.1,4.0,.525,.578,1.7,2.4,.699,0.6,2.3,2.9,3.8,0.9,0.5,1.3,1.3,10.8,,leverca01
157,Chris Boucher,32,TOR,PF,41,0,17.5,3.9,7.7,.505,1.5,4.0,.370,2.4,3.7,.647,.600,1.5,1.9,.795,1.3,3.1,4.4,0.6,0.6,0.6,0.6,1.3,10.7,,bouchch01
158,Brandon Boston Jr.,23,NOP,SG,39,10,23.8,3.9,9.0,.436,1.2,3.3,.346,2.8,5.7,.489,.500,1.6,2.0,.810,0.7,2.5,3.2,2.3,1.2,0.2,1.2,1.7,10.6,,bostobr01
159,Andrew Nembhard,25,IND,SG,30,30,28.4,4.0,8.6,.465,0.8,2.4,.333,3.2,6.2,.516,.512,1.8,2.5,.743,0.6,2.9,3.5,5.2,1.2,0.1,1.7,2.0,10.6,,nembhan01
160,Nikola Jović,21,MIA,PF,36,10,24.1,3.5,7.9,.447,1.6,4.3,.374,1.9,3.6,.535,.549,1.8,2.1,.855,0.6,3.4,4.0,2.8,0.9,0.3,1.2,1.6,10.5,,jovicni01
161,Jaden McDaniels,24,MIN,PF,46,46,31.0,4.2,9.1,.460,1.3,3.8,.333,2.9,5.3,.551,.530,0.9,1.2,.764,1.5,3.8,5.2,1.6,1.5,0.9,1.0,2.9,10.5,,mcdanja02
162,Zaccharie Risacher,19,ATL,SF,40,38,23.7,4.0,9.9,.400,1.2,4.2,.283,2.8,5.7,.485,.459,1.5,2.1,.707,1.3,2.2,3.6,1.2,0.8,0.5,1.2,2.1,10.5,,risacza01
163,Ochai Agbaji,24,TOR,SG,40,33,28.5,4.2,8.3,.508,1.6,3.9,.403,2.7,4.4,.599,.601,0.5,0.7,.679,0.9,2.8,3.7,1.7,0.8,0.5,0.8,2.1,10.4,,agbajoc01
164,Amir Coffey,27,LAC,SG,45,10,26.3,3.6,7.6,.474,1.5,3.7,.413,2.1,3.9,.531,.574,1.7,1.8,.904,0.5,2.0,2.6,1.2,0.6,0.1,0.7,1.6,10.4,,coffeam01
165,Rudy Gobert,32,MIN,C,46,46,33.0,4.0,6.2,.649,0.0,0.0,,4.0,6.2,.649,.649,2.4,3.5,.681,3.3,7.0,10.3,1.8,0.7,1.5,1.3,2.5,10.4,,goberru01
166,Derrick Jones Jr.,27,LAC,SF,44,41,24.7,4.1,8.0,.520,1.0,2.8,.369,3.1,5.2,.601,.584,1.1,1.4,.800,1.3,2.3,3.6,0.8,1.3,0.3,0.9,2.0,10.4,,jonesde02
167,Grant Williams,26,CHO,PF,16,7,29.9,3.4,7.7,.439,1.7,4.6,.365,1.7,3.1,.551,.549,1.9,2.3,.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4,,willigr01
168,Spencer Dinwiddie,31,DAL,PG,45,15,25.0,3.2,8.0,.407,1.4,4.0,.343,1.9,4.0,.472,.493,2.5,2.8,.867,0.2,2.3,2.5,3.7,0.9,0.2,1.1,1.6,10.3,,dinwisp01
169,Quentin Grimes,24,DAL,SG,44,12,23.1,3.6,7.8,.462,1.7,4.3,.402,1.9,3.5,.536,.573,1.4,1.8,.769,0.7,3.3,4.0,2.2,0.7,0.2,1.3,1.6,10.3,,grimequ01
170,Herbert Jones,26,NOP,SF,20,20,32.4,3.8,8.6,.436,1.1,3.6,.306,2.7,5.0,.530,.500,1.7,2.0,.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3,,joneshe01
171,De'Anthony Melton,26,GSW,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,,meltode01
172,Svi Mykhailiuk,27,UTA,SF,17,8,18.8,3.7,8.5,.434,2.2,6.2,.362,1.5,2.4,.625,.566,0.6,0.8,.786,0.4,1.8,2.2,1.7,0.8,0.3,1.7,1.3,10.3,,mykhasv01
173,Guerschon Yabusele,29,PHI,C,42,20,26.1,3.7,7.5,.498,1.5,3.9,.394,2.2,3.6,.613,.602,1.3,1.9,.692,1.9,3.6,5.5,2.0,0.7,0.5,1.3,2.6,10.3,,yabusgu01
174,Jalen Duren,21,DET,C,43,43,25.4,4.3,6.1,.696,0.0,0.0,,4.3,6.1,.696,.696,1.6,2.6,.636,3.4,6.4,9.9,2.2,0.6,1.2,1.9,3.3,10.1,,durenja01
175,T.J. McConnell,32,IND,PG,44,0,19.0,4.6,8.6,.529,0.2,0.6,.269,4.4,8.0,.548,.538,0.8,1.0,.739,0.6,2.0,2.6,4.5,1.2,0.3,1.5,1.0,10.1,,mccontj01
176,Brice Sensabaugh,21,UTA,SF,34,0,18.1,3.6,7.8,.468,1.9,4.8,.402,1.7,3.0,.574,.592,0.9,1.0,.939,0.6,2.1,2.7,1.4,0.6,0.1,1.5,1.4,10.1,,sensabr01
177,Bogdan Bogdanović,32,ATL,SG,24,0,24.9,3.5,9.3,.371,1.8,6.1,.301,1.6,3.3,.500,.469,1.3,1.4,.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0,,bogdabo01
178,Toumani Camara,24,POR,PF,44,44,31.5,3.7,8.5,.437,1.5,4.3,.353,2.2,4.3,.521,.525,1.1,1.5,.716,2.2,3.3,5.5,2.0,1.4,0.6,1.5,3.0,10.0,,camarto01
179,Obi Toppin,26,IND,PF,42,0,19.2,3.9,7.2,.536,1.2,3.4,.352,2.7,3.8,.700,.619,1.1,1.4,.810,0.7,3.3,4.0,1.6,0.7,0.4,0.6,1.4,10.0,,toppiob01
180,Gary Trent Jr.,26,MIL,SG,39,7,24.9,3.5,7.8,.443,2.3,5.2,.438,1.2,2.6,.451,.589,0.8,0.9,.912,0.2,2.1,2.2,1.0,1.0,0.1,0.6,2.0,10.0,,trentga02
181,Cam Whitmore,20,HOU,SF,26,0,16.4,3.8,8.7,.442,1.3,3.9,.324,2.6,4.8,.540,.515,1.1,1.5,.737,0.8,2.3,3.2,0.8,0.6,0.3,0.9,0.9,10.0,,whitmca01
182,Luke Kennard,28,MEM,SG,34,2,21.6,3.2,6.7,.485,2.3,4.6,.490,1.0,2.1,.471,.654,1.0,1.1,.897,0.7,2.3,3.0,3.4,0.6,0.1,1.0,0.8,9.8,,kennalu01
183,Nic Claxton,25,BRK,C,40,32,26.3,4.2,7.8,.540,0.0,0.3,.077,4.2,7.5,.560,.542,1.2,2.3,.527,2.0,5.6,7.6,2.0,1.0,1.1,1.2,2.1,9.7,,claxtni01
184,Luguentz Dort,25,OKC,SF,43,43,29.0,3.4,8.1,.414,2.3,5.6,.414,1.1,2.6,.414,.556,0.7,0.9,.811,1.4,2.9,4.3,1.7,1.0,0.7,0.7,3.1,9.7,,dortlu01
185,Scotty Pippen Jr.,24,MEM,PG,47,16,21.5,3.6,7.8,.463,1.0,2.9,.351,2.6,5.0,.528,.527,1.4,2.1,.680,0.8,2.6,3.4,4.5,1.2,0.3,1.9,2.6,9.7,,pippesc02
186,Goga Bitadze,25,ORL,C,37,33,24.6,4.1,6.5,.625,0.1,0.5,.105,4.0,6.0,.670,.629,1.4,2.1,.671,2.7,5.5,8.2,2.4,0.9,1.6,1.4,2.4,9.6,,bitadgo01
187,Zach Edey,22,MEM,C,33,26,20.8,3.9,6.8,.580,0.4,1.1,.389,3.5,5.7,.617,.612,1.3,2.0,.662,3.2,4.3,7.5,0.9,0.6,1.2,1.5,2.8,9.6,,edeyza01
188,Tosan Evbuomwan,23,BRK,SF,13,0,23.9,3.5,7.8,.446,0.7,2.5,.273,2.8,5.2,.529,.490,2.0,2.7,.743,1.2,3.1,4.3,1.4,0.7,0.3,2.1,1.8,9.6,,evbuoto01
189,Nick Richards,27,2TM,C,26,13,21.8,3.3,5.7,.577,0.0,0.1,.000,3.3,5.7,.585,.577,2.8,4.0,.705,2.6,5.6,8.2,1.2,0.3,1.2,1.7,2.5,9.5,,richani01
189,Nick Richards,27,CHO,C,21,9,21.0,3.0,5.4,.561,0.0,0.0,.000,3.0,5.4,.566,.561,2.8,4.1,.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,,richani01
189,Nick Richards,27,PHO,C,5,4,25.4,4.4,7.0,.629,0.0,0.2,.000,4.4,6.8,.647,.629,3.0,3.6,.833,3.4,7.8,11.2,0.6,0.2,0.8,2.0,3.4,11.8,,richani01
190,Jaime Jaquez Jr.,23,MIA,SF,40,10,23.8,3.5,7.8,.442,0.7,2.1,.317,2.8,5.8,.487,.484,2.0,2.6,.752,1.2,3.5,4.8,2.8,1.2,0.2,1.6,1.6,9.5,,jaqueja01
191,Chris Paul,39,SAS,PG,43,43,29.1,3.1,7.5,.419,1.7,4.8,.364,1.4,2.7,.517,.536,1.4,1.5,.969,0.5,3.7,4.2,8.2,1.3,0.2,1.6,1.9,9.5,,paulch01
192,Aaron Wiggins,26,OKC,SG,45,13,21.0,3.8,7.7,.487,1.3,3.6,.366,2.4,4.1,.591,.572,0.6,0.8,.829,1.0,2.4,3.4,1.5,0.8,0.2,0.9,1.3,9.5,,wiggiaa01
193,Clint Capela,30,ATL,C,45,41,22.4,4.2,7.3,.573,0.0,0.0,,4.2,7.3,.573,.573,1.0,1.9,.541,3.3,5.7,9.0,1.2,0.6,1.0,1.0,2.0,9.4,,capelca01
194,Noah Clowney,20,BRK,PF,37,18,23.1,3.0,8.1,.375,2.0,5.6,.354,1.0,2.4,.422,.498,1.4,1.6,.850,0.9,3.0,3.9,0.8,0.5,0.5,1.0,2.4,9.4,,clownno01
195,Isaiah Joe,25,OKC,SG,41,11,20.7,3.3,7.8,.428,2.3,6.0,.389,1.0,1.7,.563,.579,0.4,0.5,.762,0.5,2.1,2.6,1.4,0.8,0.1,0.5,1.6,9.4,,joeis01
196,Royce O'Neale,31,PHO,SF,39,10,25.1,3.3,7.8,.425,2.3,5.6,.405,1.1,2.2,.477,.570,0.4,0.6,.773,0.9,4.4,5.3,2.0,0.9,0.5,1.1,2.2,9.4,,onealro01
197,Jalen Wilson,24,BRK,PF,46,12,27.5,3.2,8.3,.383,1.4,4.5,.301,1.8,3.8,.480,.465,1.7,2.0,.844,1.1,2.4,3.5,1.9,0.5,0.0,1.2,2.3,9.4,,wilsoja03
198,Anthony Black,21,ORL,PG,44,6,25.0,3.3,8.0,.411,0.6,2.4,.269,2.6,5.6,.472,.451,2.1,2.9,.740,0.5,2.1,2.6,3.5,1.1,0.6,2.0,2.3,9.3,,blackan01
199,Julian Strawther,22,DEN,SG,46,0,21.8,3.3,7.5,.432,1.5,4.1,.370,1.7,3.4,.506,.533,1.2,1.5,.836,0.3,1.8,2.1,1.4,0.7,0.3,0.8,2.4,9.3,,strawju01
200,Jose Alvarado,26,NOP,PG,24,7,22.0,3.1,7.9,.392,2.1,5.2,.408,1.0,2.7,.359,.526,0.9,1.2,.786,0.5,1.5,2.0,4.1,1.3,0.3,1.1,2.0,9.2,,alvarjo01
201,Kentavious Caldwell-Pope,31,ORL,SG,46,46,30.8,3.2,7.7,.415,1.5,4.8,.314,1.7,2.8,.588,.514,1.2,1.4,.877,0.3,1.6,1.9,1.9,1.6,0.5,0.9,1.9,9.2,,caldwke01
202,Keon Johnson,22,BRK,SG,45,25,22.3,3.4,9.0,.372,1.4,4.8,.301,1.9,4.2,.453,.452,1.0,1.4,.754,0.6,2.5,3.2,1.8,0.8,0.3,1.3,2.5,9.2,,johnske07
203,Miles McBride,24,NYK,PG,37,0,23.3,3.3,7.9,.418,1.7,4.6,.368,1.6,3.3,.488,.526,0.9,1.1,.825,0.8,1.6,2.5,2.8,0.8,0.2,0.8,1.5,9.2,,mcbrimi01
