Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
30,Paolo Banchero,22,ORL,PF,16,16,33.5,7.9,18.8,.423,1.7,5.5,.307,6.3,13.3,.472,.468,5.3,8.3,.632,1.3,6.3,7.6,4.9,0.7,0.8,3.4,2.3,22.8,,banchpa01
31,Trae Young,26,ATL,PG,45,45,36.0,7.0,17.5,.401,2.9,8.6,.339,4.1,8.9,.460,.484,5.9,6.9,.858,0.5,2.8,3.3,11.5,1.3,0.2,4.6,1.9,22.8,,youngtr01
32,Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,,ingrabr01
33,Stephen Curry,36,GSW,PG,39,39,31.7,7.4,16.8,.440,4.2,10.5,.402,3.2,6.4,.502,.565,3.1,3.3,.937,0.5,4.1,4.6,6.2,1.1,0.5,2.9,1.2,22.1,,curryst01
34,Trey Murphy III,24,NOP,SF,33,31,35.4,7.5,16.0,.467,3.2,8.6,.370,4.3,7.4,.580,.566,4.0,4.5,.885,0.9,4.2,5.1,3.1,1.2,0.8,1.6,2.4,22.1,,murphtr02
35,CJ McCollum,33,NOP,PG,36,36,33.5,8.3,18.4,.448,3.0,8.3,.367,5.2,10.2,.514,.530,2.3,3.3,.700,0.7,2.9,3.6,3.8,0.8,0.5,1.7,2.3,21.9,,mccolcj01
36,Darius Garland,25,CLE,PG,47,47,30.2,7.8,15.5,.503,3.0,6.9,.428,4.9,8.6,.564,.599,3.1,3.5,.886,0.6,2.0,2.5,6.9,1.1,0.2,2.4,2.0,21.7,,garlada01
37,RJ Barrett,24,TOR,SF,41,41,33.3,8.1,17.3,.470,1.8,5.2,.349,6.3,12.0,.522,.523,3.5,5.4,.655,1.0,5.6,6.6,5.7,0.8,0.3,3.0,2.6,21.6,,barrerj01
38,James Harden,35,LAC,PG,46,46,33.9,6.3,15.9,.397,2.8,8.2,.346,3.5,7.7,.451,.486,6.2,6.9,.893,0.6,5.2,5.8,8.4,1.5,0.6,4.6,2.1,21.6,,hardeja01
39,DeMar DeRozan,35,SAC,SF,43,43,35.8,8.0,16.6,.482,0.9,2.7,.319,7.1,13.9,.513,.508,4.7,5.4,.863,0.6,3.2,3.7,3.6,1.1,0.4,1.4,2.0,21.5,,derozde01
40,Jalen Green,22,HOU,SG,48,48,33.0,7.5,17.5,.429,2.9,8.1,.355,4.6,9.4,.493,.511,3.6,4.1,.873,0.5,3.8,4.3,2.8,0.9,0.3,2.5,1.7,21.5,,greenja05
41,Jalen Williams,23,OKC,SG,45,45,32.8,8.2,17.2,.475,1.7,5.0,.347,6.4,12.2,.527,.525,3.1,4.0,.781,0.8,4.8,5.6,5.2,1.8,0.8,2.3,2.5,21.1,,willija06
42,Brandon Miller,22,CHO,SF,27,27,34.2,7.3,18.2,.403,3.9,10.9,.355,3.5,7.3,.475,.509,2.5,2.9,.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,,millebr02
43,Domantas Sabonis,28,SAC,C,45,45,36.2,8.1,13.4,.605,1.2,2.4,.473,7.0,11.0,.634,.648,3.3,4.3,.769,3.9,10.4,14.4,6.5,0.6,0.4,3.0,3.5,20.8,,sabondo01
44,Jordan Poole,25,WAS,SG,41,41,31.0,6.7,16.0,.417,3.6,9.2,.394,3.0,6.8,.450,.531,3.7,4.3,.864,0.5,2.6,3.1,4.8,1.5,0.5,3.4,3.2,20.7,,poolejo01
45,Pascal Siakam,30,IND,PF,47,47,33.1,8.0,15.0,.531,1.8,4.3,.415,6.2,10.7,.577,.590,2.8,3.8,.747,1.8,5.6,7.4,3.5,0.9,0.4,1.3,2.7,20.5,,siakapa01
46,Jamal Murray,27,DEN,PG,43,43,36.0,7.6,16.5,.461,2.0,5.7,.362,5.6,10.9,.512,.523,3.1,3.6,.871,0.6,3.4,4.0,6.1,1.4,0.6,2.3,1.7,20.4,,murraja01
47,Ja Morant,25,MEM,PG,28,28,28.4,7.0,15.6,.445,1.5,4.8,.306,5.5,10.9,.507,.492,4.9,6.1,.812,0.6,3.5,4.2,7.5,1.3,0.3,3.9,1.8,20.3,,moranja01
48,Scottie Barnes,23,TOR,PF,36,36,34.6,7.7,16.8,.458,1.4,4.9,.277,6.3,11.8,.533,.498,3.4,4.5,.759,1.6,6.5,8.1,6.4,1.4,0.9,3.1,2.2,20.1,,barnesc01
49,Nikola Vučević,34,CHI,C,49,49,32.3,8.1,14.7,.551,1.9,4.6,.401,6.2,10.1,.619,.614,1.8,2.2,.822,2.4,8.0,10.4,3.6,0.9,0.7,1.6,2.4,19.9,,vucevni01
50,Miles Bridges,26,CHO,PF,32,32,31.9,7.1,16.3,.436,2.0,6.8,.295,5.1,9.5,.536,.497,3.3,3.8,.867,1.0,6.8,7.7,3.6,0.7,0.6,2.1,1.6,19.4,,bridgmi02
51,Cameron Johnson,28,BRK,PF,35,35,32.3,6.5,13.1,.491,3.2,7.6,.419,3.3,5.5,.591,.613,3.3,3.7,.898,0.7,3.3,4.1,2.9,0.8,0.5,1.7,1.8,19.4,,johnsca02
52,Lauri Markkanen,27,UTA,PF,36,36,31.8,6.3,14.8,.423,3.0,8.6,.348,3.3,6.2,.527,.524,3.9,4.4,.869,1.7,4.5,6.2,1.7,0.8,0.4,1.4,1.8,19.4,,markkla01
53,Kristaps Porziņģis,29,BOS,C,25,25,28.4,6.4,13.4,.476,2.6,6.2,.416,3.8,7.2,.528,.572,4.0,4.8,.832,1.7,5.4,7.1,2.1,0.8,1.6,0.9,2.7,19.2,,porzikr01
54,Alperen Şengün,22,HOU,C,46,46,31.3,7.6,15.5,.491,0.3,1.4,.227,7.3,14.1,.518,.501,3.6,5.1,.708,3.4,7.0,10.4,5.0,1.3,0.8,2.4,2.8,19.1,,sengual01
55,De'Andre Hunter,27,ATL,SF,35,2,28.4,6.1,13.2,.458,2.5,6.5,.382,3.6,6.7,.532,.552,4.3,5.0,.856,0.7,3.1,3.9,1.5,0.8,0.1,1.6,2.3,18.9,,huntede01
56,Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,,johnsja05
57,Julius Randle,30,MIN,PF,48,48,32.6,6.6,14.0,.470,1.5,4.6,.321,5.1,9.4,.542,.522,4.2,5.2,.811,2.1,5.0,7.2,4.5,0.7,0.2,2.8,2.5,18.9,,randlju01
58,Collin Sexton,26,UTA,SG,45,43,29.1,6.6,13.8,.478,1.9,4.7,.414,4.7,9.1,.511,.548,3.6,4.0,.894,1.1,1.9,2.9,4.2,0.7,0.1,2.6,2.3,18.7,,sextoco01
59,Austin Reaves,26,LAL,SG,42,42,34.8,6.1,13.6,.449,2.6,7.0,.371,3.5,6.6,.530,.544,3.6,4.2,.843,0.8,3.5,4.3,6.1,1.1,0.1,2.4,2.0,18.4,,reaveau01
60,Coby White,24,CHI,SG,43,43,32.6,6.3,14.4,.435,3.0,8.3,.366,3.2,6.1,.529,.540,2.9,3.3,.886,0.3,3.0,3.4,4.6,1.0,0.2,2.5,2.3,18.4,,whiteco01
61,Evan Mobley,23,CLE,PF,43,43,29.9,7.0,12.3,.573,1.1,2.7,.398,6.0,9.6,.623,.617,3.1,4.0,.759,2.1,7.0,9.1,2.9,0.9,1.5,1.9,2.0,18.3,,mobleev01
62,Tyrese Haliburton,24,IND,PG,46,46,34.2,6.3,13.9,.453,2.9,8.0,.369,3.3,5.9,.566,.559,2.7,3.2,.846,0.6,3.0,3.7,8.7,1.2,0.6,1.8,1.3,18.2,,halibty01
63,Anfernee Simons,25,POR,SG,45,45,32.0,6.5,15.2,.424,2.9,8.0,.369,3.5,7.3,.485,.520,2.4,2.6,.898,0.3,2.5,2.8,4.8,0.8,0.1,2.1,1.7,18.2,,simonan01
64,Mikal Bridges,28,NYK,SF,49,49,38.3,7.4,15.1,.493,2.4,6.7,.363,5.0,8.4,.598,.574,0.9,1.1,.750,0.9,2.2,3.1,3.3,1.0,0.5,1.5,1.5,18.1,,bridgmi01
65,John Collins,27,UTA,PF,30,21,29.8,6.6,12.4,.536,1.5,3.2,.464,5.1,9.1,.562,.597,3.3,3.8,.867,2.2,6.0,8.2,2.3,1.0,1.0,2.7,3.0,18.0,,collijo01
66,Malik Monk,26,SAC,SG,40,27,31.9,6.6,14.6,.450,2.3,7.0,.331,4.3,7.7,.557,.528,2.6,3.0,.873,0.4,3.4,3.7,5.9,1.0,0.6,2.0,2.6,18.0,,monkma01
67,Michael Porter Jr.,26,DEN,SF,49,49,33.1,6.8,13.3,.512,2.5,6.2,.401,4.3,7.1,.609,.606,1.9,2.5,.734,1.6,4.8,6.4,2.2,0.6,0.5,1.3,1.9,18.0,,portemi01
68,Desmond Bane,26,MEM,SG,40,39,30.1,6.8,13.7,.498,2.2,5.6,.384,4.7,8.1,.577,.577,2.1,2.5,.859,1.0,4.7,5.7,5.5,1.2,0.4,2.5,2.4,17.9,,banede01
69,Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,,iveyja01
70,Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,.393,1.7,5.6,.299,4.6,10.3,.444,.445,3.3,4.0,.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,,murrade01
71,Shaedon Sharpe,21,POR,SG,41,31,30.9,6.5,14.5,.447,2.0,6.1,.324,4.5,8.4,.536,.515,2.5,3.1,.797,0.7,3.2,3.9,2.5,0.8,0.2,1.9,2.0,17.4,,sharpsh01
72,Andrew Wiggins,29,GSW,SF,42,42,30.0,6.0,13.7,.443,2.2,5.8,.383,3.8,7.9,.486,.524,3.1,3.9,.787,1.6,3.1,4.6,2.4,1.0,0.8,1.3,1.6,17.4,,wiggian01
73,Paul George,34,PHI,PF,30,30,32.0,6.3,14.6,.429,2.4,6.7,.365,3.8,7.9,.483,.513,2.2,2.6,.823,0.7,5.0,5.6,4.7,1.7,0.4,2.7,2.5,17.1,,georgpa01
74,Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,,butleji01
75,Bradley Beal,31,PHO,SG,35,23,32.3,6.5,13.2,.492,2.0,5.1,.401,4.5,8.2,.549,.569,1.9,2.4,.774,0.7,2.7,3.3,3.4,1.1,0.6,2.0,2.6,16.9,,bealbr01
76,Jonathan Kuminga,22,GSW,PF,32,10,26.0,6.1,13.2,.459,1.3,3.6,.345,4.8,9.6,.502,.506,3.4,5.3,.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,,kuminjo01
77,OG Anunoby,27,NYK,PF,49,49,36.3,6.2,12.8,.482,2.1,5.8,.365,4.1,7.0,.577,.564,1.9,2.4,.792,1.3,3.4,4.7,2.0,1.4,0.9,1.3,2.3,16.4,,anunoog01
78,Chet Holmgren,22,OKC,C,10,10,26.5,5.6,11.1,.505,1.4,3.7,.378,4.2,7.4,.568,.568,3.8,4.9,.776,1.6,7.1,8.7,2.0,0.8,2.6,2.3,1.8,16.4,,holmgch01
79,Kawhi Leonard,33,LAC,SF,11,11,24.5,6.7,14.2,.474,1.5,4.5,.340,5.2,9.6,.538,.529,1.4,1.9,.714,0.7,3.7,4.5,2.5,1.0,0.3,1.7,1.2,16.4,,leonaka01
80,Bennedict Mathurin,22,IND,SF,45,40,32.0,5.8,12.3,.473,1.5,4.2,.358,4.3,8.1,.533,.534,3.3,4.0,.826,1.2,4.6,5.8,1.8,0.6,0.4,2.0,2.5,16.4,,mathube01
81,Malik Beasley,28,DET,SG,49,11,27.9,5.7,13.1,.432,3.8,9.2,.409,1.9,3.9,.484,.575,1.1,1.7,.675,0.6,2.3,2.9,1.8,0.9,0.0,1.1,1.4,16.3,,beaslma01
82,Bam Adebayo,27,MIA,C,46,46,33.9,6.3,13.4,.467,0.7,2.5,.287,5.5,10.9,.508,.494,3.0,4.1,.733,2.5,7.5,10.0,4.6,1.3,0.8,2.2,2.2,16.2,,adebaba01
83,Keyonte George,21,UTA,PG,37,32,31.3,5.3,13.6,.390,2.5,7.5,.336,2.8,6.1,.458,.483,3.1,3.8,.813,0.4,3.1,3.5,5.7,0.7,0.2,2.8,1.8,16.2,,georgke01
84,Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,,suggsja01
85,Devin Vassell,24,SAS,SG,31,20,30.0,6.1,14.0,.435,2.3,6.5,.360,3.8,7.5,.500,.518,1.7,2.3,.757,0.7,3.0,3.6,3.0,1.1,0.5,1.6,1.6,16.2,,vassede01
86,Derrick White,30,BOS,SG,47,47,33.7,5.5,12.6,.439,3.3,8.8,.377,2.2,3.7,.585,.571,1.7,2.1,.837,0.9,3.3,4.2,4.2,0.9,1.2,1.6,1.9,16.1,,whitede01
87,Jordan Clarkson,32,UTA,SG,25,3,25.2,5.3,13.0,.409,2.1,5.8,.359,3.2,7.2,.450,.489,3.2,3.9,.814,0.6,2.5,3.1,3.8,0.9,0.3,2.3,1.6,15.9,,clarkjo01
88,Gradey Dick,21,TOR,SG,42,42,29.8,5.4,12.8,.419,2.2,6.4,.349,3.1,6.4,.489,.506,2.7,3.0,.883,0.7,2.6,3.3,2.0,0.8,0.2,1.5,2.3,15.7,,dickgr01
89,Mark Williams,23,CHO,C,21,18,24.7,6.2,10.4,.598,0.0,0.0,.000,6.2,10.4,.601,.598,3.2,4.2,.761,3.4,6.2,9.6,2.5,0.7,1.2,1.1,2.6,15.7,,willima07
90,Myles Turner,28,IND,C,44,44,31.2,5.5,11.5,.480,2.1,5.2,.400,3.5,6.3,.547,.571,2.4,3.2,.755,1.3,5.5,6.8,1.6,0.8,1.9,2.0,2.8,15.6,,turnemy01
91,Immanuel Quickley,25,TOR,PG,11,11,26.3,5.1,12.7,.400,2.2,5.9,.369,2.9,6.8,.427,.486,3.2,3.5,.921,0.2,2.0,2.2,5.7,0.5,0.2,1.5,1.5,15.5,,quickim01
92,Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,,mccaija01
93,Ivica Zubac,27,LAC,C,47,47,32.0,6.8,11.1,.612,0.0,0.0,,6.8,11.1,.612,.612,1.7,2.8,.598,3.8,8.9,12.7,2.5,0.7,1.2,1.7,1.9,15.3,,zubaciv01
94,Kyle Kuzma,29,WAS,PF,31,29,27.6,5.9,14.0,.422,1.4,4.7,.286,4.5,9.3,.491,.470,1.8,3.1,.589,0.8,5.0,5.8,2.5,0.6,0.2,2.3,1.6,15.0,,kuzmaky01
95,Deni Avdija,24,POR,SF,46,28,28.7,4.9,10.5,.465,1.5,4.3,.342,3.4,6.2,.551,.535,3.5,4.5,.776,1.3,5.2,6.5,3.5,1.1,0.6,2.4,2.2,14.7,,avdijde01
96,Jerami Grant,30,POR,PF,37,37,31.9,4.6,12.1,.384,2.3,6.0,.381,2.4,6.1,.387,.479,3.1,3.6,.850,0.5,2.8,3.3,2.2,0.7,1.1,1.3,2.3,14.6,,grantje01
97,Fred VanVleet,30,HOU,PG,45,45,35.5,5.0,13.0,.387,2.7,7.8,.344,2.4,5.3,.450,.489,1.9,2.3,.824,0.7,3.2,3.9,5.8,1.6,0.4,1.6,2.4,14.6,,vanvlfr01
98,Dennis Schröder,31,2TM,SG,46,41,30.0,5.2,12.4,.418,2.0,5.7,.351,3.2,6.7,.474,.498,2.2,2.6,.842,0.3,2.3,2.7,5.6,1.1,0.2,2.3,2.6,14.5,,schrode01
98,Dennis Schröder,31,BRK,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,,schrode01
98,Dennis Schröder,31,GSW,SG,23,18,26.5,4.0,10.7,.371,1.5,4.9,.304,2.5,5.8,.429,.441,1.3,1.7,.744,0.4,1.9,2.3,4.5,1.0,0.1,2.0,2.8,10.7,,schrode01
99,Deandre Ayton,26,POR,C,35,35,30.3,6.8,11.7,.582,0.2,0.9,.194,6.6,10.8,.614,.589,0.8,1.3,.614,3.0,7.1,10.1,1.5,0.8,0.9,1.7,2.1,14.5,,aytonde01
100,Christian Braun,23,DEN,SG,48,46,32.5,5.6,9.8,.576,1.0,2.6,.389,4.6,7.1,.644,.628,2.2,2.6,.835,1.3,3.5,4.8,2.0,1.1,0.5,1.0,2.2,14.5,,braunch01
101,Kelly Oubre Jr.,29,PHI,SF,45,42,34.2,5.5,12.0,.459,1.2,4.2,.293,4.3,7.8,.549,.510,2.2,3.0,.748,1.6,4.7,6.4,1.9,1.5,0.5,1.3,2.9,14.4,,oubreke01
102,Jakob Poeltl,29,TOR,C,44,43,31.2,6.3,10.3,.611,0.0,0.0,.000,6.3,10.3,.614,.611,1.7,2.6,.655,3.5,6.8,10.3,2.9,1.2,1.3,2.0,3.4,14.4,,poeltja01
103,P.J. Washington,26,DAL,PF,42,41,32.9,5.2,11.8,.439,1.6,4.3,.380,3.6,7.6,.472,.507,2.4,3.2,.750,1.6,6.7,8.4,2.3,1.2,1.0,1.9,2.5,14.4,,washipj01
104,Josh Hart,29,NYK,SG,48,48,37.5,5.4,9.7,.560,1.2,3.4,.348,4.3,6.4,.672,.620,2.1,2.6,.811,2.3,7.5,9.8,5.8,1.6,0.4,1.9,2.6,14.2,,hartjo01
105,Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,,manntr01
106,Payton Pritchard,27,BOS,PG,49,0,27.6,4.8,10.3,.466,3.2,7.6,.417,1.7,2.7,.604,.620,1.0,1.2,.847,1.3,2.2,3.6,3.4,0.9,0.2,1.0,1.6,13.8,,pritcpa01
107,Jarrett Allen,26,CLE,C,49,49,28.8,5.6,8.0,.706,0.0,0.0,.000,5.6,7.9,.710,.706,2.5,3.4,.733,2.6,7.5,10.0,1.9,0.9,0.9,1.1,1.4,13.7,,allenja01
108,Dillon Brooks,29,HOU,SF,45,45,32.0,5.0,11.8,.421,2.4,6.1,.385,2.6,5.7,.459,.521,1.2,1.5,.848,1.2,2.6,3.8,1.5,0.8,0.2,1.0,3.5,13.6,,brookdi01
109,Dyson Daniels,21,ATL,SG,44,44,33.6,5.7,12.3,.467,1.2,3.6,.319,4.6,8.6,.529,.514,1.0,1.6,.609,1.7,3.6,5.3,3.7,3.0,0.8,1.9,2.5,13.6,,daniedy01
110,Amen Thompson,22,HOU,SF,45,18,31.0,5.2,9.6,.545,0.3,1.3,.241,4.9,8.3,.592,.561,2.9,4.1,.707,2.7,5.4,8.1,2.9,1.4,1.2,1.9,2.3,13.6,,thompam01
111,Naz Reid,25,MIN,C,48,1,25.3,5.0,10.3,.484,2.1,5.1,.418,2.9,5.2,.548,.587,1.4,1.8,.788,0.9,4.1,5.0,1.8,0.8,0.8,1.2,2.3,13.5,,reidna01
112,Klay Thompson,34,DAL,SF,43,43,27.2,4.8,11.7,.412,3.0,7.7,.390,1.8,4.0,.456,.541,0.8,0.9,.900,0.6,2.8,3.4,2.0,0.8,0.4,1.4,1.2,13.5,,thompkl01
113,Bobby Portis,29,MIL,PF,41,5,24.7,5.5,11.7,.466,1.3,3.5,.364,4.2,8.2,.509,.520,1.2,1.5,.817,1.7,6.2,7.9,2.0,0.7,0.5,1.2,1.8,13.4,,portibo01
114,Malcolm Brogdon,32,WAS,PG,19,13,24.6,4.6,10.5,.435,0.8,2.5,.313,3.8,8.0,.474,.473,3.3,3.8,.875,0.9,3.2,4.1,3.9,0.5,0.3,1.6,1.5,13.3,,brogdma01
115,D'Angelo Russell,28,2TM,PG,40,18,25.9,4.5,10.9,.412,2.0,5.9,.340,2.5,5.0,.497,.505,2.2,2.5,.889,0.3,2.6,2.9,5.3,1.0,0.4,1.8,1.9,13.2,,russeda01
